HG00096	GBR
HG00268	FIN
HG00419	CHS
HG00759	CDX
HG01051	PUR
HG01112	CLM
HG01500	IBS
HG01565	PEL
HG01583	PJL
HG01595	KHV
HG01879	ACB
HG02568	GWD
HG02922	ESN
HG03006	BEB
HG03052	MSL
HG03642	STU
HG03742	ITU
NA12878	CEU
NA18525	CHB
NA18939	JPT
NA19017	LWK
NA19238	YRI
NA19239	YRI
NA19625	ASW
NA19648	MXL
NA20502	TSI
NA20845	GIH
